Economy,Year,Rank,Overall DTF,Starting a business-Rank,Starting a business-DTF,Starting a Business - Procedure – Men (number),Starting a Business - Time – Men (days),Starting a Business - Cost – Men (% of income per capita),Starting a Business - Procedure – Women (number),Starting a Business - Time – Women (days),Starting a Business - Cost – Women (% of income per capita),Starting a Business - Paid-in min. capital (% of income per capita)
China,DB2008, , , ,33.41,7.2,19.3,4.6,7.2,19.3,4.6,104.6
China,DB2007, , , ,32.56,7.2,19.3,5.1,7.2,19.3,5.1,117.2
China,DB2006, , , ,28.03,7.2,26.4,7.5,7.2,26.4,7.5,156.2
China - Beijing,DB2017, ,63.98,140,80.73,9.0,30.0,0.7,9.0,30.0,0.7,0.0
China - Beijing,DB2016, ,62.52, ,77.03,11.0,33.0,0.8,11.0,33.0,0.8,0.0
China - Beijing,DB2015, ,62.82, ,77.01,11.0,33.0,0.9,11.0,33.0,0.9,0.0
China - Beijing,DB2014, ,61.04, ,68.31,13.0,36.0,1.9,13.0,36.0,1.9,78.2
China - Shanghai,DB2017, ,64.52,136,81.25,9.0,28.0,0.6,9.0,28.0,0.6,0.0
China - Shanghai,DB2016, ,63.14, ,77.80,11.0,30.0,0.6,11.0,30.0,0.6,0.0
China - Shanghai,DB2015, ,63.39, ,77.76,11.0,30.0,1.0,11.0,30.0,1.0,0.0
China - Shanghai,DB2014, ,61.20, ,69.05,13.0,33.0,2.0,13.0,33.0,2.0,78.2
China - Shanghai,DB2013, ,59.94, ,68.56,13.0,33.0,2.1,13.0,33.0,2.1,85.7
China - Shanghai,DB2012, ,58.58, ,64.73,14.0,38.0,3.6,14.0,38.0,3.6,100.4
China - Shanghai,DB2011, ,59.45, ,63.50,14.0,38.0,4.5,14.0,38.0,4.5,118.3
China - Shanghai,DB2010, ,56.52, ,62.67,14.0,38.0,4.9,14.0,38.0,4.9,130.9
China - Shanghai,DB2009, , , ,59.78,14.0,41.0,8.4,14.0,41.0,8.4,158.1
China - Shanghai,DB2008, , , ,60.75,13.0,35.0,8.4,13.0,35.0,8.4,190.2
China - Shanghai,DB2007, , , ,59.20,13.0,35.0,9.3,13.0,35.0,9.3,213.1
China - Shanghai,DB2006, , , ,50.97,13.0,48.0,13.6,13.0,48.0,13.6,284.0
Colombia,DB2017,53,70.92,61,89.57,6.0,9.0,7.5,6.0,9.0,7.5,0.0
Colombia,DB2016,51,70.45,80,86.13,8.0,11.0,7.5,8.0,11.0,7.5,0.0
Colombia,DB2015, ,70.37, ,86.13,8.0,11.0,7.5,8.0,11.0,7.5,0.0
Colombia,DB2014, ,70.03, ,86.13,8.0,11.0,7.5,8.0,11.0,7.5,0.0
Colombia,DB2013, ,68.99, ,86.12,8.0,11.0,7.6,8.0,11.0,7.6,0.0
Colombia,DB2012, ,69.03, ,86.32,8.0,10.0,8.0,8.0,10.0,8.0,0.0
Colombia,DB2011, ,66.85, ,85.48,8.0,10.0,14.7,8.0,10.0,14.7,0.0
Colombia,DB2010, ,65.70, ,83.67,8.0,18.0,13.1,8.0,18.0,13.1,0.0
Colombia,DB2009, , , ,77.96,9.0,34.0,14.9,9.0,34.0,14.9,0.0
Colombia,DB2008, , , ,73.04,11.0,40.0,18.6,11.0,40.0,18.6,0.0
Colombia,DB2007, , , ,71.26,12.0,41.0,19.1,12.0,41.0,19.1,0.0
Colombia,DB2006, , , ,72.29,11.0,40.0,24.7,11.0,40.0,24.7,0.0
Comoros,DB2017,153,48.69,161,71.59,8.0,15.0,98.4,8.0,15.0,98.4,34.8
Comoros,DB2016,152,47.94,157,72.89,8.0,15.0,89.7,8.0,15.0,89.7,31.4
Comoros,DB2015, ,45.68, ,61.03,8.0,15.0,86.9,8.0,15.0,86.9,226.7
Comoros,DB2014, ,49.39, ,59.96,8.0,15.0,90.3,8.0,15.0,90.3,237.0
Comoros,DB2013, ,48.50, ,52.61,9.0,20.0,114.9,9.0,20.0,114.9,261.9
Comoros,DB2012, ,47.15, ,48.31,10.0,22.0,138.0,10.0,22.0,138.0,252.9
Comoros,DB2011, ,45.29, ,48.73,10.0,22.0,138.3,10.0,22.0,138.3,245.5
Comoros,DB2010, ,44.96, ,46.91,10.0,22.0,144.7,10.0,22.0,144.7,261.8
Comoros,DB2009, , , ,44.78,10.0,22.0,152.3,10.0,22.0,152.3,280.8
Comoros,DB2008, , , ,43.26,10.0,30.0,148.6,10.0,30.0,148.6,280.3
Comoros,DB2007, , , ,41.40,10.0,30.0,157.8,10.0,30.0,157.8,291.7
Comoros,DB2006, , , ,43.41,10.0,30.0,158.0,10.0,30.0,158.0,259.1
"Congo, Dem Rep",DB2017,184,37.57,96,85.49,6.0,11.0,29.3,7.0,12.0,29.3,0.0
"Congo, Dem Rep",DB2016,184,37.53,85,85.49,6.0,11.0,29.3,7.0,12.0,29.3,0.0
"Congo, Dem Rep",DB2015, ,34.54, ,57.67,7.0,16.0,30.0,8.0,17.0,30.0,500.0
"Congo, Dem Rep",DB2014, ,37.80, ,26.77,11.0,31.0,200.1,12.0,32.0,200.1,909.1
"Congo, Dem Rep",DB2013, ,35.05, ,46.46,10.0,58.0,284.7,11.0,59.0,284.7,0.0
"Congo, Dem Rep",DB2012, ,34.65, ,44.70,10.0,65.0,551.4,11.0,66.0,551.4,0.0
"Congo, Dem Rep",DB2011, ,33.57, ,39.92,10.0,84.0,735.1,11.0,85.0,735.1,0.0
"Congo, Dem Rep",DB2010, ,30.41, ,30.15,14.0,126.0,847.6,15.0,127.0,847.6,0.0
"Congo, Dem Rep",DB2009, , , ,30.15,14.0,132.0,935.4,15.0,133.0,935.4,0.0
"Congo, Dem Rep",DB2008, , , ,30.15,14.0,132.0,871.8,15.0,133.0,871.8,0.0
"Congo, Dem Rep",DB2007, , , ,30.15,14.0,133.0,1076.9,15.0,134.0,1076.9,0.0
"Congo, Dem Rep",DB2006, , , ,30.15,14.0,133.0,1190.0,15.0,134.0,1190.0,0.0
"Congo, Rep",DB2017,177,40.58,178,59.44,11.0,50.0,61.2,11.0,50.0,61.2,92.2
"Congo, Rep",DB2016,176,41.07,177,61.39,11.0,50.0,52.3,11.0,50.0,52.3,78.8
"Congo, Rep",DB2015, ,41.14, ,61.32,11.0,50.0,52.7,11.0,50.0,52.7,79.3
"Congo, Rep",DB2014, ,40.24, ,49.37,11.0,98.0,52.1,11.0,98.0,52.1,78.5
"Congo, Rep",DB2013, ,38.55, ,48.35,11.0,158.0,55.3,11.0,158.0,55.3,80.5
"Congo, Rep",DB2012, ,37.42, ,44.14,11.0,158.0,85.2,11.0,158.0,85.2,88.0
"Congo, Rep",DB2011, ,34.44, ,41.47,11.0,158.0,95.2,11.0,158.0,95.2,110.9
"Congo, Rep",DB2010, ,36.80, ,43.45,11.0,158.0,86.5,11.0,158.0,86.5,96.5
"Congo, Rep",DB2009, , , ,38.80,11.0,158.0,106.4,11.0,158.0,106.4,131.2
"Congo, Rep",DB2008, , , ,44.22,11.0,38.0,150.1,11.0,38.0,150.1,206.3
"Congo, Rep",DB2007, , , ,46.36,11.0,38.0,139.9,11.0,38.0,139.9,192.4
"Congo, Rep",DB2006, , , ,42.60,11.0,37.0,158.1,11.0,37.0,158.1,220.1
Costa Rica,DB2017,62,68.50,125,81.57,9.0,22.5,9.1,9.0,22.5,9.1,0.0
Costa Rica,DB2016,60,68.49,119,81.20,9.0,23.0,11.1,9.0,23.0,11.1,0.0
Costa Rica,DB2015, ,63.12, ,81.15,9.0,23.0,11.5,9.0,23.0,11.5,0.0
Costa Rica,DB2014, ,62.37, ,81.09,9.0,23.0,11.9,9.0,23.0,11.9,0.0
Costa Rica,DB2013, ,60.09, ,67.53,12.0,57.5,15.8,12.0,57.5,15.8,0.0
Costa Rica,DB2012, ,57.64, ,64.26,12.0,73.5,9.8,12.0,73.5,9.8,0.0
Costa Rica,DB2011, ,56.40, ,64.21,12.0,73.5,10.1,12.0,73.5,10.1,0.0
Costa Rica,DB2010, ,56.71, ,64.18,12.0,73.5,10.5,12.0,73.5,10.5,0.0
Costa Rica,DB2009, , , ,63.93,12.0,74.0,11.4,12.0,74.0,11.4,0.0
Costa Rica,DB2008, , , ,59.75,12.0,90.0,12.7,12.0,90.0,12.7,0.0
Costa Rica,DB2007, , , ,60.53,12.0,87.0,12.5,12.0,87.0,12.5,0.0
Costa Rica,DB2006, , , ,59.76,12.0,90.0,12.6,12.0,90.0,12.6,0.0
Cote d’Ivoire,DB2017,142,52.31,50,91.38,4.0,7.0,18.9,4.0,7.0,18.9,3.3
Cote d’Ivoire,DB2016,139,51.60,44,91.44,4.0,7.0,18.6,4.0,7.0,18.6,3.2
Cote d’Ivoire,DB2015, ,50.42, ,91.24,4.0,7.0,20.0,4.0,7.0,20.0,3.4
Cote d’Ivoire,DB2014, ,47.89, ,76.40,5.0,8.0,44.4,5.0,8.0,44.4,164.4
Cote d’Ivoire,DB2013, ,44.76, ,51.06,10.0,32.0,130.0,10.0,32.0,130.0,184.6
Cote d’Ivoire,DB2012, ,44.11, ,49.75,10.0,32.0,132.6,10.0,32.0,132.6,200.4
Cote d’Ivoire,DB2011, ,41.44, ,47.53,10.0,40.0,133.0,10.0,40.0,133.0,202.9
Cote d’Ivoire,DB2010, ,41.30, ,47.37,10.0,40.0,133.3,10.0,40.0,133.3,204.9
Cote d’Ivoire,DB2009, , , ,46.46,10.0,40.0,135.1,10.0,40.0,135.1,215.9
Cote d’Ivoire,DB2008, , , ,45.63,10.0,42.0,135.8,10.0,42.0,135.8,219.8
Cote d’Ivoire,DB2007, , , ,43.18,11.0,45.0,134.1,11.0,45.0,134.1,226.7
Cote d’Ivoire,DB2006, , , ,43.18,11.0,45.0,134.9,11.0,45.0,134.9,225.2
Croatia,DB2017,43,72.99,95,85.56,8.0,7.0,7.3,8.0,7.0,7.3,25.5
Croatia,DB2016,39,72.78,99,84.73,8.0,12.0,3.4,8.0,12.0,3.4,26.6
Croatia,DB2015, ,72.20, ,83.96,8.0,15.0,3.6,8.0,15.0,3.6,26.6
Croatia,DB2014, ,63.79, ,83.24,8.0,15.0,9.1,8.0,15.0,9.1,26.9
Croatia,DB2013, ,62.65, ,83.50,8.0,15.0,7.1,8.0,15.0,7.1,26.8
Croatia,DB2012, ,62.98, ,83.29,8.0,15.0,8.4,8.0,15.0,8.4,27.6
Croatia,DB2011, ,61.76, ,83.17,8.0,15.5,8.4,8.0,15.5,8.4,27.5
Croatia,DB2010, ,61.33, ,81.48,8.0,22.5,8.1,8.0,22.5,8.1,26.9
Croatia,DB2009, , , ,80.84,8.0,22.5,10.1,8.0,22.5,10.1,33.3
Croatia,DB2008, , , ,80.62,8.0,22.5,10.1,8.0,22.5,10.1,36.7
Croatia,DB2007, , , ,79.35,9.0,25.0,11.5,9.0,25.0,11.5,20.6
Croatia,DB2006, , , ,75.12,11.0,29.0,12.7,11.0,29.0,12.7,22.7
Cyprus,DB2017,45,72.65,53,91.21,5.0,6.0,12.2,5.0,6.0,12.2,0.0
Cyprus,DB2016,41,72.48,60,89.19,6.0,8.0,12.5,6.0,8.0,12.5,0.0
Cyprus,DB2015, ,67.65, ,89.14,6.0,8.0,13.0,6.0,8.0,13.0,0.0
Cyprus,DB2014, ,69.38, ,89.19,6.0,8.0,12.6,6.0,8.0,12.6,0.0
Cyprus,DB2013, ,69.44, ,89.22,6.0,8.0,12.4,6.0,8.0,12.4,0.0
Cyprus,DB2012, ,69.14, ,89.13,6.0,8.0,13.1,6.0,8.0,13.1,0.0
Cyprus,DB2011, ,67.78, ,89.19,6.0,8.0,12.6,6.0,8.0,12.6,0.0
Cyprus,DB2010, ,66.55, ,89.30,6.0,8.0,11.7,6.0,8.0,11.7,0.0
Cyprus,DB2009, , , ,89.00,6.0,8.0,14.1,6.0,8.0,14.1,0.0
Czech Republic,DB2017,27,76.71,81,86.86,8.0,9.0,5.7,8.0,9.0,5.7,0.0
Czech Republic,DB2016,26,76.43,88,85.23,8.0,15.0,6.7,8.0,15.0,6.7,0.0
Czech Republic,DB2015, ,75.89, ,85.08,8.0,15.5,6.9,8.0,15.5,6.9,0.0
Czech Republic,DB2014, ,71.66, ,83.22,8.0,15.5,7.0,8.0,15.5,7.0,29.5
Czech Republic,DB2013, ,69.74, ,83.07,8.0,15.5,8.1,8.0,15.5,8.1,29.7
Czech Republic,DB2012, ,68.59, ,83.01,8.0,15.5,8.1,8.0,15.5,8.1,30.7
Czech Republic,DB2011, ,67.88, ,80.99,9.0,17.0,9.3,9.0,17.0,9.3,30.9
Czech Republic,DB2010, ,63.19, ,81.03,9.0,17.0,9.2,9.0,17.0,9.2,30.5
Czech Republic,DB2009, , , ,80.14,9.0,20.0,9.6,9.0,20.0,9.6,31.8
Czech Republic,DB2008, , , ,79.12,10.0,17.0,10.6,10.0,17.0,10.6,34.9
Czech Republic,DB2007, , , ,77.44,10.0,24.0,8.9,10.0,24.0,8.9,36.8
Czech Republic,DB2006, , , ,73.22,10.0,40.0,9.5,10.0,40.0,9.5,39.0
Denmark,DB2017,3,84.87,24,94.07,4.0,3.0,0.2,4.0,3.0,0.2,13.9
Denmark,DB2016,2,84.85,22,94.04,4.0,3.0,0.2,4.0,3.0,0.2,14.3
Denmark,DB2015, ,84.69, ,93.40,4.0,5.5,0.2,4.0,5.5,0.2,14.5
Denmark,DB2014, ,85.71, ,92.82,4.0,5.5,0.2,4.0,5.5,0.2,23.9
Denmark,DB2013, ,85.79, ,92.80,4.0,5.5,0.2,4.0,5.5,0.2,24.2
Denmark,DB2012, ,85.72, ,92.77,4.0,5.5,0.0,4.0,5.5,0.0,25.0
Denmark,DB2011, ,85.42, ,92.71,4.0,5.5,0.0,4.0,5.5,0.0,26.0
Denmark,DB2010, ,84.24, ,91.79,4.0,6.0,0.0,4.0,6.0,0.0,38.6
Denmark,DB2009, , , ,91.70,4.0,6.0,0.0,4.0,6.0,0.0,40.1
Denmark,DB2008, , , ,91.67,4.0,6.0,0.0,4.0,6.0,0.0,40.7
Denmark,DB2007, , , ,91.42,4.0,6.0,0.0,4.0,6.0,0.0,44.6
Denmark,DB2006, , , ,91.27,4.0,6.0,0.0,4.0,6.0,0.0,47.0
Djibouti,DB2017,171,44.50,172,66.91,7.0,14.0,167.0,7.0,14.0,167.0,0.0
Djibouti,DB2016,168,44.42,171,66.45,7.0,14.0,170.7,7.0,14.0,170.7,0.0
Djibouti,DB2015, ,44.69, ,65.89,7.0,14.0,175.2,7.0,14.0,175.2,0.0
Djibouti,DB2014, ,48.70, ,61.01,9.0,17.0,184.7,9.0,17.0,184.7,0.0
Djibouti,DB2013, ,44.50, ,27.69,11.0,37.0,195.7,11.0,37.0,195.7,383.6
Djibouti,DB2012, ,44.05, ,26.12,11.0,37.0,214.8,11.0,37.0,214.8,434.0
Djibouti,DB2011, ,43.52, ,26.12,11.0,37.0,214.9,11.0,37.0,214.9,434.1
Djibouti,DB2010, ,44.30, ,26.12,11.0,37.0,240.1,11.0,37.0,240.1,500.5
Djibouti,DB2009, , , ,26.12,11.0,37.0,245.2,11.0,37.0,245.2,514.0
Djibouti,DB2008, , , ,24.36,11.0,44.0,251.6,11.0,44.0,251.6,530.8
Djibouti,DB2007, , , ,24.36,11.0,44.0,267.0,11.0,44.0,267.0,571.4
Djibouti,DB2006, , , ,24.36,11.0,44.0,279.6,11.0,44.0,279.6,604.6
Dominica,DB2017,101,60.27,64,89.26,5.0,12.0,15.7,5.0,12.0,15.7,0.0
Dominica,DB2016,95,60.52,58,89.35,5.0,12.0,15.0,5.0,12.0,15.0,0.0
Dominica,DB2015, ,60.76, ,89.27,5.0,12.0,15.7,5.0,12.0,15.7,0.0
Dominica,DB2014, ,64.25, ,89.15,5.0,12.0,16.6,5.0,12.0,16.6,0.0
Dominica,DB2013, ,64.30, ,89.31,5.0,12.0,15.3,5.0,12.0,15.3,0.0
Dominica,DB2012, ,64.06, ,88.50,5.0,12.0,21.8,5.0,12.0,21.8,0.0
Dominica,DB2011, ,63.88, ,88.23,5.0,13.0,22.0,5.0,13.0,22.0,0.0
Dominica,DB2010, ,63.97, ,88.15,5.0,13.0,22.6,5.0,13.0,22.6,0.0
Dominica,DB2009, , , ,87.79,5.0,13.0,25.5,5.0,13.0,25.5,0.0
Dominica,DB2008, , , ,87.34,5.0,14.0,27.1,5.0,14.0,27.1,0.0
Dominica,DB2007, , , ,86.98,5.0,14.0,30.0,5.0,14.0,30.0,0.0
Dominica,DB2006, , , ,86.95,5.0,14.0,30.2,5.0,14.0,30.2,0.0
Dominican Republic,DB2017,103,59.35,115,83.34,7.0,14.5,16.3,7.0,14.5,16.3,36.5
Dominican Republic,DB2016,103,59.08,108,83.12,7.0,14.5,16.4,7.0,14.5,16.4,39.8
Dominican Republic,DB2015, ,60.27, ,82.86,7.0,14.5,16.9,7.0,14.5,16.9,43.0
Dominican Republic,DB2014, ,62.34, ,82.62,7.0,14.5,17.3,7.0,14.5,17.3,46.0
Dominican Republic,DB2013, ,62.24, ,82.29,7.0,14.5,18.3,7.0,14.5,18.3,49.3
Dominican Republic,DB2012, ,62.39, ,81.76,7.0,14.5,19.3,7.0,14.5,19.3,55.7
Dominican Republic,DB2011, ,62.70, ,79.59,8.0,15.0,20.5,8.0,15.0,20.5,62.6
Dominican Republic,DB2010, ,63.07, ,83.18,8.0,16.0,21.0,8.0,16.0,21.0,0.0
Dominican Republic,DB2009, , , ,83.64,8.0,15.0,19.4,8.0,15.0,19.4,0.0
Dominican Republic,DB2008, , , ,78.19,9.0,25.0,31.1,9.0,25.0,31.1,0.0
Dominican Republic,DB2007, , , ,65.49,9.0,76.0,30.2,9.0,76.0,30.2,0.0
Dominican Republic,DB2006, , , ,65.41,9.0,76.0,30.8,9.0,76.0,30.8,0.0
Ecuador,DB2017,114,57.97,166,70.61,11.0,48.5,21.0,11.0,48.5,21.0,0.0
Ecuador,DB2016,114,57.49,165,68.51,12.0,50.5,22.0,12.0,50.5,22.0,0.0
Ecuador,DB2015, ,57.62, ,65.31,13.0,55.5,24.0,13.0,55.5,24.0,3.5
Ecuador,DB2014, ,57.96, ,65.14,13.0,55.5,25.3,13.0,55.5,25.3,3.7
Ecuador,DB2013, ,57.47, ,64.52,13.0,55.5,29.9,13.0,55.5,29.9,4.5
Ecuador,DB2012, ,57.85, ,64.65,13.0,55.5,28.8,13.0,55.5,28.8,4.4
Ecuador,DB2011, ,57.50, ,64.02,13.0,56.0,32.6,13.0,56.0,32.6,4.9
Ecuador,DB2010, ,57.44, ,61.67,13.0,64.0,35.1,13.0,64.0,35.1,5.5
Ecuador,DB2009, , , ,59.87,14.0,65.0,35.3,14.0,65.0,35.3,6.3
Ecuador,DB2008, , , ,60.58,14.0,65.0,29.2,14.0,65.0,29.2,7.0
Ecuador,DB2007, , , ,60.23,14.0,65.0,31.8,14.0,65.0,31.8,7.7
Ecuador,DB2006, , , ,58.34,14.0,69.0,38.1,14.0,69.0,38.1,9.2
"Egypt, Arab Rep",DB2017,122,56.64,39,92.43,4.0,6.0,7.4,5.0,7.0,7.4,0.0
"Egypt, Arab Rep",DB2016,126,55.18,70,87.48,7.0,8.0,7.6,8.0,9.0,7.6,0.0
"Egypt, Arab Rep",DB2015, ,55.87, ,87.28,7.0,8.0,9.2,8.0,9.0,9.2,0.0
"Egypt, Arab Rep",DB2014, ,59.99, ,87.22,7.0,8.0,9.7,8.0,9.0,9.7,0.0
"Egypt, Arab Rep",DB2013, ,59.61, ,87.13,7.0,8.0,10.4,8.0,9.0,10.4,0.0
"Egypt, Arab Rep",DB2012, ,59.08, ,87.13,7.0,8.0,10.4,8.0,9.0,10.4,0.0
"Egypt, Arab Rep",DB2011, ,57.92, ,87.06,7.0,8.0,10.9,8.0,9.0,10.9,0.0
"Egypt, Arab Rep",DB2010, ,56.99, ,85.85,7.0,8.0,20.7,8.0,9.0,20.7,0.0
"Egypt, Arab Rep",DB2009, , , ,85.47,7.0,8.0,22.7,8.0,9.0,22.7,2.0
"Egypt, Arab Rep",DB2008, , , ,82.04,8.0,10.0,28.9,9.0,11.0,28.9,12.9
"Egypt, Arab Rep",DB2007, , , ,47.66,10.0,19.0,68.8,11.0,20.0,68.8,694.7
"Egypt, Arab Rep",DB2006, , , ,42.38,10.0,22.0,104.9,11.0,23.0,104.9,739.8
El Salvador,DB2017,95,61.02,129,80.70,8.0,15.5,40.7,8.0,15.5,40.7,2.5
El Salvador,DB2016,86,62.20,122,80.19,8.0,16.5,42.7,8.0,16.5,42.7,2.6
El Salvador,DB2015, ,60.60, ,80.02,8.0,16.5,43.9,8.0,16.5,43.9,2.7
El Salvador,DB2014, ,60.68, ,79.93,8.0,16.5,44.6,8.0,16.5,44.6,2.8
El Salvador,DB2013, ,60.52, ,79.89,8.0,16.5,45.0,8.0,16.5,45.0,2.8
El Salvador,DB2012, ,60.49, ,79.89,8.0,16.5,44.9,8.0,16.5,44.9,3.0
El Salvador,DB2011, ,60.32, ,79.95,8.0,16.5,44.4,8.0,16.5,44.4,3.0
El Salvador,DB2010, ,60.82, ,80.15,8.0,16.5,42.9,8.0,16.5,42.9,2.9
El Salvador,DB2009, , , ,78.61,8.0,16.5,54.9,8.0,16.5,54.9,3.5
El Salvador,DB2008, , , ,67.09,9.0,19.5,74.7,9.0,19.5,74.7,112.5
El Salvador,DB2007, , , ,60.71,10.0,35.0,79.3,10.0,35.0,79.3,119.7
El Salvador,DB2006, , , ,51.16,12.0,40.0,119.7,12.0,40.0,119.7,124.4
Equatorial Guinea,DB2017,178,39.83,187,36.90,17.0,134.0,102.7,17.0,134.0,102.7,27.8
Equatorial Guinea,DB2016,175,41.36,188,36.59,18.0,135.0,99.4,18.0,135.0,99.4,15.8
Equatorial Guinea,DB2015, ,40.46, ,36.74,18.0,135.0,99.0,18.0,135.0,99.0,14.3
Equatorial Guinea,DB2014, ,47.76, ,36.86,18.0,135.0,98.6,18.0,135.0,98.6,13.0
Equatorial Guinea,DB2013, ,47.74, ,36.99,18.0,135.0,98.2,18.0,135.0,98.2,11.7
Equatorial Guinea,DB2012, ,47.40, ,36.70,18.0,135.0,99.1,18.0,135.0,99.1,14.6
Equatorial Guinea,DB2011, ,44.94, ,36.05,18.0,155.0,100.9,18.0,155.0,100.9,21.3
Equatorial Guinea,DB2010, ,45.63, ,36.92,18.0,155.0,98.4,18.0,155.0,98.4,12.4
Equatorial Guinea,DB2009, , , ,36.63,18.0,155.0,99.3,18.0,155.0,99.3,15.4
Equatorial Guinea,DB2008, , , ,35.87,18.0,155.0,101.4,18.0,155.0,101.4,23.2
Equatorial Guinea,DB2007, , , ,36.85,18.0,155.0,98.6,18.0,155.0,98.6,13.1
Equatorial Guinea,DB2006, , , ,36.85,18.0,177.0,98.6,18.0,177.0,98.6,13.1
Eritrea,DB2017,189,28.05,186,46.36,13.0,84.0,37.6,13.0,84.0,37.6,165.1
Eritrea,DB2016,189,27.94,185,46.16,13.0,84.0,38.1,13.0,84.0,38.1,167.2
Eritrea,DB2015, ,26.40, ,44.81,13.0,84.0,41.5,13.0,84.0,41.5,182.1
Eritrea,DB2014, ,32.81, ,42.80,13.0,84.0,50.5,13.0,84.0,50.5,196.1
Eritrea,DB2013, ,32.48, ,42.14,13.0,84.0,52.3,13.0,84.0,52.3,203.1
Eritrea,DB2012, ,31.62, ,38.36,13.0,84.0,62.6,13.0,84.0,62.6,243.0
Eritrea,DB2011, ,31.37, ,35.95,13.0,84.0,69.2,13.0,84.0,69.2,268.4
Eritrea,DB2010, ,30.21, ,33.25,13.0,84.0,76.5,13.0,84.0,76.5,297.0
Eritrea,DB2009, , , ,23.80,13.0,84.0,102.2,13.0,84.0,102.2,396.7
Eritrea,DB2008, , , ,20.90,13.0,83.0,125.8,13.0,83.0,125.8,488.0
Eritrea,DB2007, , , ,23.89,13.0,76.0,115.9,13.0,76.0,115.9,449.8
Eritrea,DB2006, , , ,22.08,13.0,76.0,130.4,13.0,76.0,130.4,535.2
Estonia,DB2017,12,81.05,14,95.13,3.0,3.5,1.2,3.0,3.5,1.2,16.4
Estonia,DB2016,11,81.01,11,95.06,3.0,3.5,1.3,3.0,3.5,1.3,17.3
Estonia,DB2015, ,80.44, ,93.25,4.0,4.5,1.4,4.0,4.5,1.4,18.6
Estonia,DB2014, ,76.29, ,91.13,5.0,6.5,1.5,5.0,6.5,1.5,20.6
Estonia,DB2013, ,75.59, ,91.02,5.0,6.5,1.6,5.0,6.5,1.6,22.1
Estonia,DB2012, ,75.96, ,90.86,5.0,6.5,1.8,5.0,6.5,1.8,24.4
Estonia,DB2011, ,76.32, ,90.77,5.0,6.5,1.9,5.0,6.5,1.9,25.7
Estonia,DB2010, ,75.97, ,90.95,5.0,6.5,1.7,5.0,6.5,1.7,23.2
Estonia,DB2009, , , ,90.92,5.0,6.5,1.7,5.0,6.5,1.7,23.7
Estonia,DB2008, , , ,90.60,5.0,6.5,2.0,5.0,6.5,2.0,28.1
Estonia,DB2007, , , ,81.20,6.0,35.0,5.1,6.0,35.0,5.1,34.3
Estonia,DB2006, , , ,80.61,6.0,35.0,6.2,6.0,35.0,6.2,41.4
Ethiopia,DB2017,159,47.25,179,55.96,14.0,35.0,69.3,14.0,35.0,69.3,121.5
Ethiopia,DB2016,159,46.85,181,53.64,14.0,35.0,79.1,14.0,35.0,79.1,138.9
Ethiopia,DB2015, ,45.73, ,49.22,14.0,39.0,93.7,14.0,39.0,93.7,164.4
Ethiopia,DB2014, ,47.56, ,46.57,14.0,39.0,105.0,14.0,39.0,105.0,184.2
Ethiopia,DB2013, ,48.65, ,37.65,14.0,40.0,141.9,14.0,40.0,141.9,249.1
Ethiopia,DB2012, ,47.97, ,27.95,13.0,40.0,189.1,13.0,40.0,189.1,333.5
Ethiopia,DB2011, ,47.95, ,32.41,11.0,20.0,200.4,11.0,20.0,200.4,367.7
Ethiopia,DB2010, ,45.91, ,30.39,11.0,20.0,268.4,11.0,20.0,268.4,492.4
Ethiopia,DB2009, , , ,51.76,11.0,19.0,31.1,11.0,19.0,31.1,693.6
Ethiopia,DB2008, , , ,50.27,11.0,19.0,43.0,11.0,19.0,43.0,960.0
Ethiopia,DB2007, , , ,49.67,11.0,19.0,47.8,11.0,19.0,47.8,1083.8
Ethiopia,DB2006, , , ,43.17,11.0,35.0,67.6,11.0,35.0,67.6,1532.0
Fiji,DB2017,97,60.71,159,73.13,11.0,40.0,17.9,11.0,40.0,17.9,0.0
Fiji,DB2016,84,62.47,166,68.18,11.0,58.0,21.3,11.0,58.0,21.3,0.0
Fiji,DB2015, ,62.36, ,68.04,11.0,58.0,22.5,11.0,58.0,22.5,0.0
Fiji,DB2014, ,66.89, ,67.96,11.0,58.0,23.1,11.0,58.0,23.1,0.0
Fiji,DB2013, ,67.19, ,67.85,11.0,58.0,24.0,11.0,58.0,24.0,0.0
Fiji,DB2012, ,68.01, ,74.17,9.0,44.0,25.1,9.0,44.0,25.1,0.0
Fiji,DB2011, ,68.13, ,75.80,8.0,44.0,23.8,8.0,44.0,23.8,0.0
Fiji,DB2010, ,67.87, ,75.62,8.0,44.0,25.3,8.0,44.0,25.3,0.0
Fiji,DB2009, , , ,75.63,8.0,44.0,25.2,8.0,44.0,25.2,0.0
Fiji,DB2008, , , ,75.61,8.0,44.0,25.3,8.0,44.0,25.3,0.0
Fiji,DB2007, , , ,75.55,8.0,44.0,25.8,8.0,44.0,25.8,0.0
Fiji,DB2006, , , ,75.22,8.0,44.0,28.4,8.0,44.0,28.4,0.0
Finland,DB2017,13,80.84,28,93.13,3.0,14.0,1.0,3.0,14.0,1.0,6.6
Finland,DB2016,12,80.85,26,93.11,3.0,14.0,1.0,3.0,14.0,1.0,6.8
Finland,DB2015, ,80.65, ,93.10,3.0,14.0,1.1,3.0,14.0,1.1,7.0
Finland,DB2014, ,82.18, ,93.10,3.0,14.0,1.1,3.0,14.0,1.1,7.0
